Time_s,Raw_Signal,"Butterworth (Fc=50Hz, N=4)","Butterworth (Fc=40Hz, N=4)","Butterworth (Fc=30Hz, N=4)","Butterworth (Fc=20Hz, N=4)"
0.0,17.720045146669353,17.720045146669353,17.713035559142,17.721859090008504,17.720026642455593
0.01,18.38477631085024,18.38477631085024,18.052457104563175,18.445477658328773,19.024745379033476
0.02,19.697715603592208,19.697715603592208,20.273603938814265,20.113334504887696,19.798829738535012
0.03,21.540659228538015,21.540659228538015,20.8949589943879,20.430254563160357,19.89241185208966
0.04,18.027756377319946,18.027756377319946,18.53465909449079,19.2158465958794,19.66102531832839
0.05,19.4164878389476,19.4164878389476,19.238234940936522,19.063720006931106,19.540858068521405
0.06,20.615528128088304,20.615528128088304,20.341404533798517,19.809748077377193,19.482767245615477
0.07,18.027756377319946,18.027756377319946,18.785739921781502,19.517890024457618,19.079955776396854
0.08,19.6468827043885,19.6468827043885,18.46621208956646,18.21364018764858,18.271733955670527
0.09,16.15549442140351,16.15549442140351,17.623411918539535,17.15485716522513,17.580492097329902
0.1,18.110770276274835,18.110770276274835,16.539020575821024,17.314750248796813,17.497131515967155
0.11,17.11724276862369,17.11724276862369,18.589086097054864,18.256103979340807,17.882728714279473
0.12,20.223748416156685,20.223748416156685,19.04640866354125,18.517054357243794,18.22927865533854
0.13,16.401219466856727,16.401219466856727,17.132232810664796,18.161509793768268,18.35429724934364
0.14,19.026297590440446,19.026297590440446,18.817056501505967,18.190277418309204,18.502453082243335
0.15,19.4164878389476,19.4164878389476,19.125070398509237,18.684742133885443,18.808155334898963
0.16,17.46424919657298,17.46424919657298,18.146340034939115,19.424616816745722,19.042478599274197
0.17,21.470910553583888,21.470910553583888,20.55890146002637,19.49060068430459,19.039791953306935
0.18,17.69180601295413,17.69180601295413,18.675119472243722,18.558435265966192,19.079071845074164
0.19,18.60107523773827,18.60107523773827,17.661674188163154,18.889403854438687,19.503610869922113
0.2,21.095023109728984,21.095023109728984,21.92831387528392,20.69624941614314,20.083245851150846
0.21,21.213203435596427,21.213203435596427,20.5159439716652,20.72442459552127,20.184815248463664
0.22,17.69180601295413,17.69180601295413,18.225696315810154,19.031408814836304,19.600712044012212
0.23,19.849433241279208,19.849433241279208,19.51811379914107,18.519010839822187,18.828949297545307
0.24,18.38477631085024,18.38477631085024,18.472074405432267,18.942162657128215,18.491574992395424
0.25,18.439088914585774,18.439088914585774,18.616063765606157,18.825026807900713,18.75911428287825
0.26,20.024984394500787,20.024984394500787,19.603477776691932,18.95995253155719,19.33613020650571
0.27,18.60107523773827,18.60107523773827,19.206131584811786,19.899178149338333,19.779785786298213
0.28,21.18962010041709,21.18962010041709,20.48692278687413,20.186728485581334,19.82702510059594
0.29,18.973665961010276,18.973665961010276,19.685965624413676,19.30174392618637,19.549260382184706
0.3,18.681541692269406,18.681541692269406,18.034296395956822,18.88797676677529,19.198926560844633
0.31,19.313207915827967,19.313207915827967,19.835940899238917,19.215384655998,18.902038208506653
0.32,19.313207915827967,19.313207915827967,18.965231198099126,18.77715980944705,18.604948996606335
0.33,17.029386365926403,17.029386365926403,17.16086429869685,18.01676671918498,18.305395577916276
0.34,18.867962264113206,18.867962264113206,18.97364923115257,18.171734176270846,18.157005841793037
0.35,18.681541692269406,18.681541692269406,18.35920695025312,18.496445635465246,18.301635107879477
0.36,17.4928556845359,17.4928556845359,17.958789489160587,18.511433240105763,18.685422615489294
0.37,20.248456731316587,20.248456731316587,19.752984438921978,18.94107005742189,19.05569484477678
0.38,18.439088914585778,18.439088914585778,18.843782184136344,19.427891319226447,19.151538876139547
0.39,19.313207915827967,19.313207915827967,19.082872909828648,19.038864399372535,18.948297571266227
0.4,18.867962264113206,18.867962264113206,18.906716670949393,18.347676743386657,18.67352252801692
0.41,17.46424919657298,17.46424919657298,17.56728792356351,18.443650734364688,18.512696951525896
0.42,19.4164878389476,19.4164878389476,19.259608538625784,18.666170092819854,18.374533132643922
0.43,18.110770276274835,18.110770276274835,18.2384947779276,18.05284979418567,18.06951630067705
0.44,16.76305461424021,16.76305461424021,16.707562064738084,17.54307929477418,17.660697560331954
0.45,18.38477631085024,18.38477631085024,18.375546698606584,17.62346500270902,17.469828603378836
0.46,17.46424919657298,17.46424919657298,17.49399583965127,17.520713909266018,17.698377562036253
0.47,17.26267650163207,17.26267650163207,17.26870749206497,17.85723942257085,18.121409887910268
0.48,19.313207915827967,19.313207915827967,19.22184270021499,18.718687022214333,18.259674005668217
0.49,18.027756377319946,18.027756377319946,18.241790814069894,18.21022415256109,17.9370792397229
0.5,17.08800749063506,17.08800749063506,16.722340914564526,17.000455094219323,17.567248540105957
0.51,17.0,17.0,17.54214887896063,17.542580669384172,17.68907093259277
0.52,19.723082923316017,19.723082923316017,18.985011051860987,18.729229166977547,18.28870614891555
0.53,17.804493814764854,17.804493814764854,18.74464090489549,18.718070491531726,18.808985172255856
0.54,19.209372712298546,19.209372712298546,18.08683090144824,18.642795516551544,18.80527378652161
0.55,18.110770276274835,18.110770276274835,19.357581456710705,18.782476849238805,18.441158393504978
0.56,19.6468827043885,19.6468827043885,18.37673715291526,18.236596908522856,18.321950232249804
0.57,16.278820596099706,16.278820596099706,17.441467065006677,18.35142358289635,18.817209964566068
0.58,21.470910553583888,21.470910553583888,20.544531015567323,19.6520013841926,19.52370264295946
0.59,19.313207915827967,19.313207915827967,19.91625914606136,19.953305657358264,19.567351362170495
0.6,18.027756377319946,18.027756377319946,17.766280756935487,18.63341043441739,18.569596053090837
0.61,18.027756377319946,18.027756377319946,17.997306815568642,16.992910963565322,17.167208019430177
0.62,15.556349186104047,15.556349186104047,15.789318804016629,16.080689155067116,16.412398138573383
0.63,16.492422502470642,16.492422502470642,16.147411259128596,16.72567647326077,16.710333503945186
0.64,18.35755975068582,18.35755975068582,18.751347971927125,17.944383341113294,17.474471634488914
0.65,17.88854381999832,17.88854381999832,17.47552095558764,17.767022807651543,17.819270633506864
0.66,16.278820596099706,16.278820596099706,16.70389687954109,17.01740089516626,17.43953893757518
0.67,17.88854381999832,17.88854381999832,17.45236420887879,17.059227020588445,16.78848870161541
0.68,16.401219466856727,16.401219466856727,16.84393133108468,16.89632948894282,16.596004449762354
0.69,17.0,17.0,16.559483069248756,16.720392815839503,17.250422758194706
0.7,17.804493814764854,17.804493814764854,18.23593866035649,18.20694333209444,18.43305737420271
0.71,20.615528128088304,20.615528128088304,20.18970307603363,20.03083322319594,19.327167081307913
0.72,18.973665961010276,18.973665961010276,19.414540818348197,19.56022136388444,19.35125441828857
0.73,18.35755975068582,18.35755975068582,17.863127115320385,17.853604749887936,18.645563676849413
0.74,17.11724276862369,17.11724276862369,17.712425644750937,17.57100380450342,17.757574051160795
0.75,18.38477631085024,18.38477631085024,17.650840097641108,17.976328068325557,17.0959560212562
0.76,16.492422502470642,16.492422502470642,17.373552744532972,16.984855029640343,16.86238176626221
0.77,17.11724276862369,17.11724276862369,16.124177813554454,16.156066598357555,17.140697567810815
0.78,16.0312195418814,16.0312195418814,17.057384201485362,17.64973500791735,17.67816156711318
0.79,20.591260281974,20.591260281974,19.636374217177863,18.86672457756181,17.881227998781206
0.8,16.492422502470642,16.492422502470642,17.276967122742192,17.402513830909253,17.466396349770967
0.81,16.0,16.0,15.449917274238134,16.15507580873692,16.907675137412824
0.82,17.46424919657298,17.46424919657298,17.764461234289975,16.982843296119466,16.864223298591472
0.83,17.69180601295413,17.69180601295413,17.614256455911416,17.652971149124337,17.350187226381838
0.84,17.11724276862369,17.11724276862369,17.024590377732906,17.678918374340356,17.792330082167744
0.85,18.35755975068582,18.35755975068582,18.559555701643127,17.993399820954323,17.795728740731338
0.86,18.0,18.0,17.74640246607806,17.65349886391281,17.58903777933987
0.87,16.278820596099706,16.278820596099706,16.538550024717033,17.08258249000092,17.653258416532218
0.88,18.681541692269406,18.681541692269406,18.438727713368486,18.032654365812142,18.050744518803224
0.89,18.867962264113206,18.867962264113206,19.101494853915494,19.106653940528346,18.364115492571745
0.9,18.35755975068582,18.35755975068582,18.09627438328839,18.33674882790715,18.33253494459856
0.91,17.46424919657298,17.46424919657298,17.803903624161606,17.475129214261436,18.213684230473188
0.92,18.38477631085024,18.38477631085024,17.929971572583966,18.31561075973829,18.32623623035167
0.93,18.867962264113206,18.867962264113206,19.432058511930705,19.160467498698257,18.55942196596846
0.94,19.4164878389476,19.4164878389476,18.808387521788458,18.64881154229932,18.633705132109334
0.95,17.08800749063506,17.08800749063506,17.621764218956415,18.255384868828124,18.606341002207284
0.96,19.723082923316017,19.723082923316017,19.403225686790456,18.744393984774046,18.76607580635592
0.97,19.026297590440446,19.026297590440446,19.018247453504067,19.148670114137964,19.108768968423544
0.98,18.38477631085024,18.38477631085024,18.767392182538813,19.252823757973523,19.208962498936703
0.99,20.248456731316587,20.248456731316587,19.530352883473526,18.90430055576821,18.693356236830983
1.0,16.492422502470642,16.492422502470642,17.43308230969973,17.656253626000176,17.73857204588142
1.01,17.46424919657298,17.46424919657298,16.452914935173474,16.702043542326486,16.997197674319466
1.02,16.55294535724685,16.55294535724685,17.48690362486471,17.164900735873324,17.022359152328125
1.03,18.788294228055936,18.788294228055936,18.03917698942766,18.057570861792826,17.80834598858381
1.04,17.804493814764854,17.804493814764854,18.32472683094403,18.59199681002473,18.824591375502273
1.05,19.697715603592208,19.697715603592208,19.38121898079283,19.14348558717408,19.383135408582184
1.06,19.313207915827967,19.313207915827967,19.508027139394102,19.431475881284513,19.106562503759758
1.07,18.439088914585778,18.439088914585778,18.25575932746618,18.68572624386027,18.29828787216622
1.08,17.69180601295413,17.69180601295413,17.963140744562725,17.43674341545745,17.802415949515947
1.09,17.804493814764854,17.804493814764854,17.393267510829187,17.571631762457564,18.19538407366744
1.1,18.439088914585778,18.439088914585778,18.973556009891425,19.40984125078179,19.076487079255386
1.11,21.540659228538015,21.540659228538015,20.963100808945878,20.201290717944033,19.450147141206873
1.12,17.69180601295413,17.69180601295413,18.19919465359245,18.629501520361543,18.88953115711832
1.13,17.46424919657298,17.46424919657298,17.13111510817636,17.362560407746592,18.011530448937336
1.14,18.35755975068582,18.35755975068582,18.4559519055347,17.887947505331802,17.689870152470835
1.15,18.0,18.0,18.140665520529502,18.50884118506954,18.123653932851234
1.16,18.973665961010276,18.973665961010276,18.63566073794435,18.649646775248428,18.82795610032041
1.17,18.867962264113206,18.867962264113206,19.338982043662043,19.134203956498947,19.244966032579818
1.18,19.723082923316017,19.723082923316017,19.181051331864722,19.353048694531843,19.157545061050804
1.19,18.027756377319946,18.027756377319946,18.599069184437898,18.552428104014844,18.66258908662928
1.2,18.439088914585774,18.439088914585774,17.85296072037634,17.738161372607358,17.967076685360645
1.21,16.76305461424021,16.76305461424021,17.37227547021043,17.604827487329295,17.288824439040866
1.22,17.88854381999832,17.88854381999832,17.239449230989337,17.145249752317184,16.887333356238425
1.23,16.1245154965971,16.1245154965971,16.818477247806335,16.464409589030915,16.984471616056737
1.24,17.26267650163207,17.26267650163207,16.55132511910624,17.23777062745001,17.485607339424803
1.25,18.248287590894655,18.248287590894655,18.90428601994831,18.552309456057493,17.919218192442926
1.26,19.1049731745428,19.1049731745428,18.617186622992186,18.07807528976683,17.91716504149057
1.27,15.811388300841896,15.811388300841896,16.007489205332597,17.137289478014488,17.67714764084098
1.28,18.248287590894655,18.248287590894655,18.429868534207777,17.67725608112967,17.68293030790553
1.29,19.1049731745428,19.1049731745428,18.543015759218765,18.270734390541286,18.031549944299037
1.3,16.278820596099706,16.278820596099706,17.123124071965762,18.125981218765613,18.289556902013693
1.31,20.0,20.0,19.047005584724673,18.14735878155384,18.030467075944582
1.32,16.55294535724685,16.55294535724685,17.424361695424672,17.69279379250566,17.389704970253597
1.33,17.029386365926403,17.029386365926403,16.38044686618155,16.651682071417145,16.994757708604364
1.34,17.0,17.0,17.378234776702495,16.888031408452726,17.274176452426317
1.35,17.88854381999832,17.88854381999832,17.73295573173089,18.28122281960888,17.915362174277938
1.36,19.026297590440446,19.026297590440446,19.069488511336292,18.569536225516728,18.198258197519806
1.37,17.46424919657298,17.46424919657298,17.415101134295043,17.60008991903602,17.833475590630695
1.38,16.492422502470642,16.492422502470642,16.62466984067875,16.997149683983864,17.23824304608641
1.39,18.0,18.0,17.772527684713616,16.996069366378187,16.968567077799424
1.4,16.278820596099706,16.278820596099706,16.55719457616439,17.183327417845028,17.11885845167206
1.41,17.804493814764854,17.804493814764854,17.544960944126444,17.563242478396056,17.378719382127247
1.42,18.0,18.0,18.179287180059063,17.554029641472045,17.50149528930666
1.43,16.55294535724685,16.55294535724685,16.4874957406032,17.17466451683783,17.519512783748898
1.44,17.720045146669353,17.720045146669353,17.666563614878875,17.447682263029336,17.52341740604116
1.45,18.027756377319946,18.027756377319946,18.186438662649692,17.87952865634757,17.466874140541847
1.46,17.11724276862369,17.11724276862369,16.8784450660444,17.381430098352677,17.33163096746501
1.47,17.029386365926403,17.029386365926403,17.311001359589646,16.922178585202197,17.30577457605608
1.48,17.69180601295413,17.69180601295413,17.421813638971102,17.574251864181804,17.586197486467256
1.49,18.027756377319946,18.027756377319946,18.215725175260506,18.369637099158513,18.08882014440337
1.5,19.026297590440446,19.026297590440446,18.99131125910744,18.484445643043784,18.518754866885754
1.51,18.027756377319946,18.027756377319946,17.867539543626997,18.54566945111013,18.676082906514978
1.52,18.681541692269406,18.681541692269406,19.018183403327072,18.641657366146703,18.58539978471405
1.53,19.1049731745428,19.1049731745428,18.68902582667599,18.353521201995612,18.386897738431013
1.54,16.970562748477143,16.970562748477143,17.303425543932924,18.223300669203525,18.201545088683424
1.55,19.1049731745428,19.1049731745428,19.036945301025344,18.22121009259365,18.07214909623273
1.56,18.0,18.0,17.66554941148228,17.723097066893793,17.950759538425128
1.57,16.1245154965971,16.1245154965971,16.90081802952067,17.564576707748998,17.724123647871238
1.58,19.6468827043885,19.6468827043885,18.5083243052116,17.8130523264957,17.330456937347684
1.59,15.524174696260024,15.524174696260024,16.847561292161892,16.992610123743646,16.91941163905482
1.6,17.11724276862369,17.11724276862369,15.831536729847134,16.10783673856102,16.782937199790577
1.61,16.15549442140351,16.15549442140351,17.19980551961089,17.054437508305483,17.020507944382114
1.62,19.1049731745428,19.1049731745428,18.431617088880934,18.21415892781872,17.441970871841267
1.63,17.26267650163207,17.26267650163207,17.542826440194865,17.821961712236632,17.890452299904382
1.64,17.46424919657298,17.46424919657298,17.489599005881317,17.531735550242914,18.35925380554597
1.65,19.235384061671347,19.235384061671347,19.071905161965226,18.634100584450735,18.66459751308418
1.66,18.60107523773827,18.60107523773827,18.712040453852325,19.329327428978615,18.444749977929142
1.67,18.35755975068582,18.35755975068582,18.447776403933688,18.026721084519252,17.784617793399597
1.68,17.029386365926403,17.029386365926403,16.68256948445613,16.535827142688152,17.422076325267014
1.69,16.1245154965971,16.1245154965971,16.672703492235815,17.40244621885669,17.85132897604278
1.7,20.591260281974,20.591260281974,19.9827760773315,19.193987339889688,18.491281753818953
1.71,18.110770276274835,18.110770276274835,18.61059566318536,18.8473856291027,18.34172046629541
1.72,17.029386365926403,17.029386365926403,16.768170400924635,17.13744180696402,17.415649422883813
1.73,17.08800749063506,17.08800749063506,17.067971468780208,16.591225931599524,16.931392950462893
1.74,17.204650534085253,17.204650534085253,17.448443271944804,17.609913796850424,17.86928690487665
1.75,20.0,20.0,19.66680661067801,19.708890052363596,19.69179307293671
1.76,21.095023109728988,21.095023109728988,21.353739148630744,21.506792100198634,20.83249453096802
1.77,21.095023109728988,21.095023109728988,21.050373041890225,20.66781286166376,20.396923276514713
1.78,18.38477631085024,18.38477631085024,18.143112560785653,18.25279443646172,19.05884076322024
1.79,16.76305461424021,16.76305461424021,17.277086495328085,17.81014472430496,18.137210686628812
1.8,20.248456731316587,20.248456731316587,19.550593702887596,18.771251050913634,18.11068811472327
1.81,17.4928556845359,17.4928556845359,18.248148414190286,18.48743656798996,18.37274230853186
1.82,18.027756377319946,18.027756377319946,17.334307874280636,17.857691442498563,18.223872640921982
1.83,18.027756377319946,18.027756377319946,18.58107045749413,17.906347749729974,17.68932139316445
1.84,17.720045146669353,17.720045146669353,17.331700595505172,17.45621625158659,17.368597434506334
1.85,16.55294535724685,16.55294535724685,16.798669414421006,17.227878281686422,17.696569304903512
1.86,19.026297590440446,19.026297590440446,18.869590150293952,18.47499624724894,18.418277154063766
1.87,19.313207915827967,19.313207915827967,19.44699298389429,19.371601023081446,18.831517490070738
1.88,18.248287590894655,18.248287590894655,18.078147078743662,18.494872494437253,18.551053484729202
1.89,17.4928556845359,17.4928556845359,17.733937309826313,17.399408467076434,17.87925290304557
1.9,17.720045146669353,17.720045146669353,17.40958863845301,17.376158170417384,17.381542418593035
1.91,17.0,17.0,17.342938760089282,17.72791842718677,17.31442538476672
1.92,18.38477631085024,18.38477631085024,18.066502426041872,17.603830580654723,17.56558796600584
1.93,17.08800749063506,17.08800749063506,17.328751506818307,17.504983487538016,17.917866985330612
1.94,18.027756377319946,18.027756377319946,17.889534017971098,18.156947818341628,18.183038162049417
1.95,19.1049731745428,19.1049731745428,19.155135809254816,18.68844699129646,18.251145374678096
1.96,18.027756377319946,18.027756377319946,18.017378324976995,18.25385551982888,18.227660501702637
1.97,17.804493814764854,17.804493814764854,17.83824053963404,17.993580715729895,18.390413082373396
1.98,19.1049731745428,19.1049731745428,18.99216412342588,18.69855307776085,18.795848643609887
1.99,19.0,19.0,19.223409467647176,19.304109025862108,19.05464417825547
2.0,19.1049731745428,19.1049731745428,18.770575547828784,18.972966012637972,18.751219578232508
2.01,17.804493814764854,17.804493814764854,18.22176603517748,18.003724467265485,18.04938876935266
2.02,17.88854381999832,17.88854381999832,17.43436263057723,17.34110566587509,17.641180466058863
2.03,17.029386365926403,17.029386365926403,17.472871036456404,17.89679532717449,17.995600057448122
2.04,19.79898987322333,19.79898987322333,19.39791159032078,19.02705570873237,18.79265272148327
2.05,19.1049731745428,19.1049731745428,19.4599368982988,19.345474400733693,19.251482419179812
2.06,18.681541692269406,18.681541692269406,18.34873989213608,18.948658799644722,18.97327636122318
2.07,18.60107523773827,18.60107523773827,18.948624920488104,18.36253309885004,18.324186579018345
2.08,18.110770276274835,18.110770276274835,17.72067593977081,17.758775872535097,17.976153248722326
2.09,17.0,17.0,17.434986424039593,17.978847716156253,18.163611063557077
2.1,19.924858845171276,19.924858845171276,19.468114434324637,18.835430733934842,18.483954410682145
2.11,18.027756377319946,18.027756377319946,18.473930937011346,18.697762904469577,18.45508462234692
2.12,18.0,18.0,17.58442534243212,17.815558107291494,18.129504633891578
2.13,17.804493814764854,17.804493814764854,18.194146301354863,17.801043482390476,17.97708862363129
2.14,18.439088914585774,18.439088914585774,18.050202092334228,18.377640168332725,18.231869564886598
2.15,18.38477631085024,18.38477631085024,18.800880913971987,18.583936434486272,18.59054364554276
2.16,19.1049731745428,19.1049731745428,18.65109359437496,18.689979138084944,18.618730353966676
2.17,17.804493814764854,17.804493814764854,18.27832908490278,18.57517672780868,18.311850664965647
2.18,18.867962264113206,18.867962264113206,18.415207113112263,17.81994008314151,18.104720980433008
2.19,16.970562748477143,16.970562748477143,17.357257359470516,17.802494420577016,18.29980866611241
2.2,19.209372712298546,19.209372712298546,18.914802770590235,19.11151373645516,18.6374150289693
